ward,trend,p_value,slope
170,no trend,0.6021675277481957,-0.1582509666454534
171,no trend,0.11785089502136503,-0.1472420752950016
172,no trend,0.17530808080827365,-0.20101683540099557
173,no trend,0.46551216987418664,-0.23258344977265183
174,no trend,0.6021675277481957,-0.2652601346940506
175,no trend,0.9169652366288645,-0.15860005996073767
176,no trend,0.17530808080827365,-0.26384583380175514
177,no trend,0.7544541774940892,-0.1714123230457556
178,no trend,0.46551216987418664,-0.35400647702606775
179,no trend,0.9169652366288645,-0.1309217575699049
180,no trend,0.6021675277481957,-0.1653351535455248
181,no trend,0.17530808080827365,-0.3594267028310725
182,no trend,0.6021675277481957,-0.2479869604946797
168,no trend,1.0,0.014854097233303068
169,no trend,0.7544541774940892,-0.12163790508137354
183,no trend,0.6021675277481957,-0.18532741188432808
184,no trend,0.9169652366288645,-0.04814429370177677
185,no trend,0.2514521865080219,-0.27541748537337085
186,no trend,0.6021675277481957,-0.20403048445260796
187,no trend,0.46551216987418664,0.24873418779030382
188,no trend,0.9169652366288645,0.03296513666561118
189,no trend,0.7544541774940892,-0.07931010817644371
190,no trend,0.9169652366288645,-0.21691254068650362
191,no trend,1.0,-0.015547037716403977
192,no trend,0.46551216987418664,-0.28158076858294356
193,no trend,0.46551216987418664,-0.17745759868118255
194,no trend,0.2514521865080219,-0.11182545439301173
195,no trend,0.7544541774940892,-0.0923679262122441
196,no trend,0.7544541774940892,-0.11796763112903837
197,no trend,0.9169652366288645,0.20032676496650303
198,no trend,1.0,-0.016638855633844447
199,no trend,0.7544541774940892,-0.1508968838967687
200,no trend,0.6021675277481957,0.08464294926960866
15,no trend,0.34808262363292397,0.09028881540847411
16,no trend,0.7544541774940892,0.08261200130447476
17,no trend,0.46551216987418664,-0.09939663473977375
18,no trend,0.7544541774940892,0.07770479526918349
19,no trend,0.7544541774940892,-0.02636948810578854
20,no trend,1.0,0.005544403705613885
21,no trend,1.0,-0.009490700745554175
22,no trend,0.11785089502136503,-0.21543048844161444
23,no trend,0.46551216987418664,-0.16565949339884012
24,no trend,0.6021675277481957,-0.2181798546571528
25,no trend,0.9169652366288645,0.0390895050232731
26,no trend,0.6021675277481957,0.12743146970576133
27,no trend,1.0,0.0294956148951447
28,no trend,0.7544541774940892,-0.09088414238795708
29,no trend,0.34808262363292397,-0.29515059584162984
30,no trend,0.9169652366288645,0.1039749253921046
31,no trend,0.7544541774940892,0.13161847330253842
32,no trend,0.6021675277481957,0.22567922371590737
33,no trend,0.9169652366288645,0.0843827207585243
34,no trend,0.9169652366288645,0.10422853888347323
35,no trend,0.9169652366288645,-0.09331237542044235
36,no trend,0.46551216987418664,-0.14303980109420453
37,no trend,0.9169652366288645,-0.06863827684623214
38,no trend,0.2514521865080219,-0.25207036412796274
39,no trend,0.2514521865080219,-0.3102068106764805
40,no trend,0.2514521865080219,-0.3279168845602657
41,no trend,0.11785089502136503,-0.21861880999223615
42,no trend,0.17530808080827365,-0.32453298632749517
43,no trend,0.2514521865080219,-0.29499966873760874
44,no trend,0.46551216987418664,-0.17109767130253903
45,no trend,0.34808262363292397,-0.23391207369282002
46,no trend,0.2514521865080219,-0.4022267064477563
47,no trend,0.2514521865080219,-0.22976134461785103
48,no trend,0.17530808080827365,-0.23897297464285602
49,no trend,0.2514521865080219,-0.3125283925386448
50,no trend,0.34808262363292397,-0.32906862308659157
51,no trend,0.2514521865080219,-0.3115841044033255
52,no trend,0.17530808080827365,-0.24352698982262222
53,no trend,0.2514521865080219,-0.24532296014696914
54,no trend,0.34808262363292397,-0.14023815673614948
55,no trend,0.46551216987418664,-0.21989657133769153
56,no trend,0.34808262363292397,-0.2273673170831625
57,no trend,0.6021675277481957,-0.131938325707511
58,no trend,0.34808262363292397,-0.1431142842274446
59,no trend,0.2514521865080219,-0.23665522850079118
60,no trend,0.2514521865080219,-0.2410923697322899
61,decreasing,0.028567681801513034,-0.25489841866801743
62,no trend,0.2514521865080219,-0.22929281656578082
63,no trend,0.11785089502136503,-0.24978371359602888
64,no trend,0.9169652366288645,-0.11990194961583793
65,no trend,0.7544541774940892,-0.34080958599319544
66,no trend,0.9169652366288645,0.0159646042483228
67,no trend,0.9169652366288645,-0.07523752000755093
68,no trend,0.7544541774940892,-0.06915171250263726
69,no trend,0.6021675277481957,-0.20634475500080524
